media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin,media_iber,active_iber,url_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber
naciodigital.cat,Osona,OJD,CAT,B,cc,digital,,,AMIC,nació tarragona,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Tarragona,CAT
naciodigital.cat,Osona,OJD,CAT,B,cc,digital,,,AMIC,osona nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Barcelona,CAT
naciodigital.cat,Osona,OJD,CAT,B,cc,digital,,,AMIC,pallars digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Lleida,CAT
naciodigital.cat,Sabadell,OJD,CAT,B,amb,digital,,,AMIC,eco diari,False,naciodigital.cat,"Passeig de Gràcia, 26, 08007 Barcelona",8007.0,41.3903717,2.1679521,web,Barcelona,CAT
naciodigital.cat,Sabadell,OJD,CAT,B,amb,digital,,,AMIC,la torre,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Sabadell,OJD,CAT,B,amb,digital,,,AMIC,nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Sabadell,OJD,CAT,B,amb,digital,,,AMIC,nació tarragona,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Tarragona,CAT
naciodigital.cat,Sabadell,OJD,CAT,B,amb,digital,,,AMIC,osona nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Barcelona,CAT
naciodigital.cat,Sabadell,OJD,CAT,B,amb,digital,,,AMIC,pallars digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Lleida,CAT
naciodigital.cat,Sant Cugat del Vallès,OJD,CAT,B,amb,digital,,,AMIC,eco diari,False,naciodigital.cat,"Passeig de Gràcia, 26, 08007 Barcelona",8007.0,41.3903717,2.1679521,web,Barcelona,CAT
naciodigital.cat,Sant Cugat del Vallès,OJD,CAT,B,amb,digital,,,AMIC,la torre,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Sant Cugat del Vallès,OJD,CAT,B,amb,digital,,,AMIC,nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Sant Cugat del Vallès,OJD,CAT,B,amb,digital,,,AMIC,nació tarragona,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Tarragona,CAT
naciodigital.cat,Sant Cugat del Vallès,OJD,CAT,B,amb,digital,,,AMIC,osona nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Barcelona,CAT
naciodigital.cat,Sant Cugat del Vallès,OJD,CAT,B,amb,digital,,,AMIC,pallars digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Lleida,CAT
naciodigital.cat,Tarragona,OJD,CAT,T,,digital,,,AMIC,eco diari,False,naciodigital.cat,"Passeig de Gràcia, 26, 08007 Barcelona",8007.0,41.3903717,2.1679521,web,Barcelona,CAT
naciodigital.cat,Tarragona,OJD,CAT,T,,digital,,,AMIC,la torre,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Tarragona,OJD,CAT,T,,digital,,,AMIC,nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
