media,Origin
palmesana,AMIC
calderi,AMIC
canalbaixpenedes,AMIC
castelldefels,AMIC
districte7,AMIC
ebreactiu,AMIC
el3,AMIC
elmirall,AMIC
elmonic,AMIC
elpoll,AMIC
lesvegueries,AMIC
esplugues,AMIC
jornalet,AMIC
laguait,AMIC
lamarina,AMIC
lapremsamagazine,AMIC
larella,AMIC
lasemaineduroussillon,AMIC
apropebre,AMIC
lecositges,AMIC
andreuenc,AMIC
Viumolinsderei,AMIC
líniasants,AMIC
líniasarria,AMIC
liniatres,AMIC
líniavalles,AMIC
lleidadiari,AMIC
manresadiari,AMIC
molletama,AMIC
monterrassa,AMIC
pallarsdigital,AMIC
rubitv,AMIC
sommontmeló,AMIC
somvalles,AMIC
tarragona21,AMIC
tdbactualitat,AMIC
Territoris,AMIC
totcerdanyola,AMIC
totrubi,AMIC
Viurealspirineus,AMIC
líniasantmarti,AMIC
lleida24,AMIC
marina360,AMIC
suasesport,AMIC
monplaneta,AMIC
territorirural,AMIC
viasona,AMIC
audio,AMIC
onacatradio,AMIC
parlant-de-detalls,AMIC
saltramusica,AMIC
uepmallorca,AMIC
lasbandasdemusica,AMIC
latraca,AMIC
criar,AMIC
qualsevolnit,AMIC
laveudalgemesi,AMIC
formularapida,AMIC
elmondelatele,AMIC
barcelonaalemany,AMIC
paris-barcelona,AMIC
madeinperpignan,AMIC
7diesactualitat,AMIC
ahoramarinabaixa,AMIC
martorelltv,AMIC
radioarrels,AMIC
radiositges,AMIC
revistagroc,AMIC
ripolletaldia,AMIC
Santandreutv,AMIC
sitgesactiu,AMIC
teleponent,AMIC
tot-hospitalet,AMIC
vilapress,AMIC
zonasec,AMIC
aabrera,AMIC
aesparraguera,AMIC
puntinformatiu,AMIC
canalajuntament,AMIC
laradiodelsnens,AMIC
revistahiperbolic,AMIC
laveudelsllibres,AMIC
Lesmuntanyes,AMIC
líniasantandreu,AMIC
línianoubarris,AMIC
canalte24,AMIC
carrerlliure,AMIC
valledeelda,AMIC
vadevi,AMIC
elmoncasteller,AMIC
inediteducacion,AMIC
aboriginemag,AMIC
diaridelallengua,AMIC
espai,AMIC
elculturista,AMIC
verlanga,AMIC
tempsarts,AMIC
culturaipaisatge,AMIC
festescatalunya,AMIC
culturalia,AMIC
frontissa,AMIC
cultura21,AMIC
esportsradio,AMIC
Núvol,AMIC
larepublicaesportiva,AMIC
esportbalear,AMIC
la-clau,AMIC
indicadordeeconomia,AMIC
lasrepublicas,AMIC
totpla,AMIC
saplaca,AMIC
Junior-report,AMIC
blanquinegres,AMIC
metadata,AMIC
el9nou,AMIC
hibridosyelectricos,AMIC
balearsvadegust,AMIC
vadegust,AMIC
foodiesonmenorca,AMIC
elgourmetcatala,AMIC
escaparatedigital,AMIC
lapositiva,AMIC
esportandreuenc,AMIC
mon,AMIC
liniarambla,AMIC
media,AMIC
gentedelasafor,AMIC
somsafor,AMIC
radiojove,AMIC
baixcampradio,AMIC
bellaterradiari,AMIC
canal21ebre,AMIC
diarideterrassa,AMIC
empordà,AMIC
lafurapenedes,AMIC
líniaciutatvella,AMIC
liniacornella,AMIC
líniaeixample,AMIC
líniagracia,AMIC
líniahorta,AMIC
liniahospitalet,AMIC
línialescorts,AMIC
liniamar,AMIC
línianord,AMIC
somgandia,AMIC
noticiasmarinaalta,AMIC
sermaestrat,AMIC
onadigital,AMIC
elnostreciutat,AMIC
areavisual,AMIC
exterior,AMIC
diaridebenicassim,AMIC
escenacultural,AMIC
tornaveu,AMIC
laveudalginet,AMIC
apuntmenorca,AMIC
sapsque,AMIC
Catalunyareligio,AMIC
campingscat,AMIC
eldiari,AMIC
festacatalunya,AMIC
laconca51,AMIC
fibwidiario,AMIC
larepublica,AMIC
xcatalunya,AMIC
cronica,AMIC
revistaglobalclub,AMIC
eltotbadalona,AMIC
catalunyaplural,AMIC
digitalmanacor,AMIC
centpercent,AMIC
elsbruguersdigital,AMIC
fetasantfeliu,AMIC
balearsvadevi,AMIC
portada,AMIC
foravila,AMIC
tucomarca,AMIC
suhecapuntcom,AMIC
eliris,AMIC
tresdeu,AMIC
spacelaw,AMIC
castello24,AMIC
aquicatalunha,AMIC
radiolavallduixo,AMIC
ludica,AMIC
diacritic,AMIC
periodicontinyent,AMIC
diariodemallorca,AMIC
equinoxmagazine,AMIC
Social,AMIC
elsoller,AMIC
fulldenginyeria,AMIC
mallorcadiario,AMIC
mallorcactual,AMIC
laciutat ,AMIC
forum,AMIC
elperiodic,AMIC
diarilaveu,AMIC
tvdigitalontinyent,AMIC
revistasao,AMIC
revistapoble,AMIC
castellonoticies,AMIC
alicantextra,AMIC
diariandorra,AMIC
ultimahora,AMIC
firesifestes,AMIC
menorcaaldia,AMIC
menorca,AMIC
menorcadiario,AMIC
manacorcomarcal,AMIC
Periodicodeibiza,AMIC
revista07500,AMIC
sompollença,AMIC
onamediterrania,AMIC
mollet a mà,"AMIC, CAC"
línia sarrià-sant gervasi,"AMIC, CAC"
"línia tres (esplugues, st joan d, st just d)","AMIC, CAC"
línia vallès (ed. vallès oriental),"AMIC, CAC"
línia vallès (ed. cerdanyola),"AMIC, CAC"
llevant actualitat,"AMIC, CAC"
línia nord (ed. montserratí) _ abans: ed. baix llobregat,"AMIC, CAC"
més! osona ripollès garrotxa moianès  (abans: més osona),"AMIC, CAC"
més vila-seca,"AMIC, CAC"
"pànxing berguedà, bages i solsonès","AMIC, CAC"
revista culturab _ (xarxa línia),"AMIC, CAC"
pànxing tot cerdanya,"AMIC, CAC"
"reclam la cerdanya, l'alt urgell","AMIC, CAC"
reclam magazín,"AMIC, CAC"
revista orgull _ (xarxa línia),"AMIC, CAC"
santcugat magazine,"AMIC, CAC"
see barcelona,"AMIC, CAC"
somgranollers,"AMIC, CAC"
sommollet,"AMIC, CAC"
línia nord (ed. barcelonès),"AMIC, CAC"
pànxing maresme,"AMIC, CAC"
línia mar (ed. baix maresme),"AMIC, CAC"
20 minutos barcelona,"AMIC, CAC"
línia l'hospitalet,"AMIC, CAC"
sommontornès,"AMIC, CAC"
capgròs mataró i maresme,"AMIC, CAC"
el nostre banyeres,"AMIC, CAC"
diari més tarragona reus i costa daurada,"AMIC, CAC"
el mirall.net,"AMIC, CAC"
el nou de l'empordà,"AMIC, CAC"
els colors del pla de l'estany,"AMIC, CAC"
freqüència,"AMIC, CAC"
gente catalunya,"AMIC, CAC"
groc,"AMIC, CAC"
indicador d'economía,"AMIC, CAC"
la bústia del baix llobregat,"AMIC, CAC"
magazín la mira,"AMIC, CAC"
la fura,"AMIC, CAC"
la marina,"AMIC, CAC"
el nostre muro,"AMIC, CAC"
"la torre de barcelona (ed. sarrià, sant gervasi i les corts)","AMIC, CAC"
la torre de barcelona - oci i cultura familiar,"AMIC, CAC"
el nostre xixona,"AMIC, CAC"
canfali marina alta,"AMIC, CAC"
linia les corts,"AMIC, CAC"
"línia mar (ed. baix llobregat _ castelldefels, gavà, viladecans i el prat)","AMIC, CAC"
torredembarra actualitat,"AMIC, CAC"
manacor comarcal,"AMIC, CAC"
apunt menorca,"AMIC, CAC"
el 9 nou osona i el ripolles,"AMIC, CAC"
el 9 nou vallès oriental,"AMIC, CAC"
el breny,"AMIC, CAC"
el gratis,"AMIC, CAC"
el iris,"AMIC, CAC"
el nostre ciutat,"AMIC, CAC"
el periòdic d'ontinyent,"AMIC, CAC"
