media,area_of_influence,ojd,url,CCAA,PROV,AREA,platform,PGD,distribution,Origin,active_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber,type_media_cac,address_cac,lat_cac,lng_cac,zipcode_cac,classification_ojd,sub_classification_ojd,unique_visitors_ojd
flaix fm,,,flaixfm.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, 08007 Barcelona",8007,41.3923037,2.1635693,"app, radio, web",Barcelona,CAT,Emissora de ràdio,"Passatge Sant Jaume, 12 ,  08391, Tiana",40.812593,0.521446,08391,,,
flaix fm,,,flaixfm.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, 08007 Barcelona",8007,41.3923037,2.1635693,"app, radio, web",Barcelona,CAT,Emissora de ràdio,"Passatge Sant Jaume, 12 ,  08391, Tiana",42.433381,1.925851,08391,,,
flaix fm,,,flaixfm.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, 08007 Barcelona",8007,41.3923037,2.1635693,"app, radio, web",Barcelona,CAT,Emissora de ràdio,"Passeig de gràcia, 55 ,  08007, Barcelona",,,08007,,,
flaix fm,,,flaixfm.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, 08007 Barcelona",8007,41.3923037,2.1635693,"app, radio, web",Barcelona,CAT,Emissora de ràdio,"Passatge Sant Jaume, 12 ,  08391, Tiana",41.983123,2.824781,08391,,,
flaix fm,,,flaixfm.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, 08007 Barcelona",8007,41.3923037,2.1635693,"app, radio, web",Barcelona,CAT,Emissora de ràdio,"Passatge Sant Jaume, 12 ,  08391, Tiana",41.614978,0.626865,08391,,,
flaix fm,,,flaixfm.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, 08007 Barcelona",8007,41.3923037,2.1635693,"app, radio, web",Barcelona,CAT,Emissora de ràdio,"Passeig de Gràcia, 55 ,  08007, Barcelona",41.563084,2.010112,08007,,,
flaix fm,,,flaixfm.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, 08007 Barcelona",8007,41.3923037,2.1635693,"app, radio, web",Barcelona,CAT,Emissora de ràdio,"Passeig de Gràcia, 55 ,  08007, Barcelona",41.376688,1.161373,08007,,,
gum fm,,,gumfm.com,,,,,,,"Iberfier, CAC",True,"ANETO,7 25530 VIELHA, LLEIDA",25530,42.7000406,0.8018425,"web, radio, app",Lleida,CAT,Emissora de ràdio,"Carrer Aneto, 7 ,       , Vielha e Mijaran",42.167320,0.896120,,,,
gum fm,,,gumfm.com,,,,,,,"Iberfier, CAC",True,"ANETO,7 25530 VIELHA, LLEIDA",25530,42.7000406,0.8018425,"web, radio, app",Lleida,CAT,Emissora de ràdio,"Carrer Aneto, 7 ,       , Vielha e Mijaran",42.431000,1.926950,,,,
imagina ràdio,,,imaginaradio.com,,,,,,,"Iberfier, CAC",True,"Rosa Maria Molas, 2, baixos 43500 Tortosa",43500,40.8056033,0.5225366,"web, radio",Tarragona,CAT,Emissora de ràdio,"Carrer Rosa Mª Moles, 2 baixos,  43500, Tortosa",40.812587,0.521449,43500,,,
la sénia ràdio,,,laseniaradio.cat,,,,,,,"Iberfier, CAC",False,"Senia, Tarragona",,40.6356057,0.2843096,web,Tarragona,CAT,Emissora de ràdio,"Carrer  La pau, 2 ,  43560, La Sénia",40.635836,0.282047,43560,,,
la plana ràdio,,,laplanaradio.cat,,,,,,,"Iberfier, CAC",True,Rota de l'Alto - 2 - 43570 Santa Bàrbara (Tarragona),13570,40.7138272,0.4919495,"web, radio",Tarragona,CAT,Emissora de ràdio,"Carrer Rota de l'Alto , 2 Edifici Mercat Municipal,  43570, Santa Bàrbara",40.714527,0.492782,43570,,,
la veu de navàs,,,laveudenavas.navas.cat,,,,,,,"Iberfier, CAC",False,,,,,web,ES Unknown,,Emissora de ràdio,"Plaça de l'Ajuntament, 8 ,  08670, Navàs",41.899795,1.878870,08670,,,
llagostera ràdio,,,llagosteraradio.cat,,,,,,,"Iberfier, CAC",True,"Sant Pere, 5 - Llagostera",17240,41.8288221,2.8925398,"radio, web",Girona,CAT,Emissora de ràdio,"Carrer Sant Pere, 5 ,  17240, Llagostera",41.828836,2.892505,17240,,,
mataró ràdio,,,mataroradio.cat,,,,,,,"Iberfier, CAC",True,"Juan Sebastiàn Elcano, 6 1r., 08302 de Mataró",8302,41.5360475,2.435503,"web, tv, radio",Barcelona,CAT,Emissora de ràdio,"Carrer Juan Sebastián Elcano , 6 Centre Cívic Pla d'en Boet,  08302, Mataró",41.533092,2.433225,08302,,,
nova ràdio lloret,,,novaradiolloret.org,,,,,,,"Iberfier, CAC",True,"Sant Pere, 36. 17310 Lloret de Mar",17310,41.70067,2.846199,"radio, tv, web",Girona,CAT,Emissora de ràdio,"Carrer Sant Pere , 36 ,  17310, Lloret de Mar",41.700579,2.846262,17310,,,
olot televisió,,,olot.tv,,,,,,,"Iberfier, CAC",True,"Edifici Simon, Carrer Pou del Glaç, 6-B, 17800 Olot, Girona",17800,42.1805011,2.4823338,"tv, web",Girona,CAT,Canal de televisió,"Plaça del Mig, s/n,  (Edifici Can Trincheria),  17800, Olot",42.183126,2.484621,17800,,,
ona codinenca,,,onacodinenca.cat,,,,,,,"Iberfier, CAC",True,"Carretera Sant Llorenç, 6, 08182 Sant Feliu de Codines, Barcelona",8182,41.6892628,2.1606422,"web, radio",Barcelona,CAT,Emissora de ràdio,"Carretera Sant Llorenç, 6 Centre S. Maria Roca Umbert,  08182, Sant Feliu de Codines",41.690718,2.165395,08182,,,
ona la torre,,,ona-latorre.cat,,,,,,,"Iberfier, CAC",True,"Garrofers, 8, baixos · 43830 Torredembarra",43830,41.1455546,1.4048627,"radio, app, web",Tarragona,CAT,Emissora de ràdio,"Carrer Garrofers, 8 baixos,  43830, Torredembarra",41.144097,1.400945,43830,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",,,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.479066,2.319162,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.413060,1.131200,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.690106,2.492342,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.234948,1.811719,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.614973,0.626861,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.114364,1.255784,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.702784,2.844723,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.183127,2.484633,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.817526,3.067928,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",,,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",,,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",,,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",,,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.433376,1.925855,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.201006,2.190778,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.358058,1.462348,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",40.620290,0.592599,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.983145,2.824783,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.578733,1.617543,08036,,,
rac 1,,,rac1.org,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.929805,2.255080,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.183144,2.484612,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.116450,2.763758,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.262398,1.771818,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.929816,2.255081,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.817537,3.067929,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.166553,0.896001,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.119023,1.244876,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",40.812545,0.521445,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.201013,2.190787,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",42.433365,1.925859,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.723118,1.827111,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.392786,2.145684,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",,,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.702793,2.844724,08036,,,
rac 105,,,rac105.cat,,,,,,,"Iberfier, CAC",True,"Avenida Diagonal, 477, 15a planta, 08036 Barcelona.",8036,41.3925658,2.1458302,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Avinguda Diagonal, 477 ,  08036, Barcelona",41.614984,0.626862,08036,,,
ràdio abrera,,,radioabrera.cat,,,,,,,"Iberfier, CAC",True,"Major, 3. 2a. planta CP 08630 Abrera (Barcelona)",8630,41.5175266,1.9017802,"radio, app, web",Barcelona,CAT,Emissora de ràdio,"Carrer Major, 3 ,  08630, Abrera",41.517527,1.901780,08630,,,
ràdio arenys,,,radioarenys.cat,,,,,,,"Iberfier, CAC",True,,8350,41.5855397,2.5470339,"app, web, radio",Barcelona,CAT,Emissora de ràdio,"Riera Pare Fita, 31 Edifici Calisay,  08350, Arenys de Mar",41.579707,2.550868,08350,,,
ràdio arenys de munt,,,radioarenysmunt.cat,,,,,,,"Iberfier, CAC",True,"Plaza de l'Església, nº 5, 2on. pis - Arenys de Munt",8358,41.6093683,2.5408414,web,Barcelona,CAT,Emissora de ràdio,"Plaça Església, 5 ,  08358, Arenys de Munt",41.609368,2.540841,08358,,,
ràdio argentona,,,argentona.cat,,,,,,,"Iberfier, CAC",True,"Carrer les Parres, 21 – 23, 08310 Argentona, Barcelona",8310,41.5538481,2.404362,"radio, web",Barcelona,CAT,Emissora de ràdio,"Carrer Les Parres, 21-23 ,  08310, Argentona",41.553848,2.404362,08310,,,
ràdio balsareny,,,radiobalsareny.org,,,,,,,"Iberfier, CAC",False,,8660,41.8634562,1.8745219,web,Barcelona,CAT,Emissora de ràdio,"Plaça de l'Ajuntament, 2 ,  08660, Balsareny",41.863220,1.876810,08660,,,
ràdio banyoles,,,Radiobanyoles.cat,,,,,,,"Iberfier, CAC",True,"Pere Alsius 11, segona planta - Apartat de Correus 248 - 17820 Banyoles (Pla de l'Estany)",17820,42.1148321,2.7539868,"radio, web",Girona,CAT,Emissora de ràdio,"Carrer Pere Alsius, 11 ,  17820, Banyoles",42.116414,2.763566,17820,,,
ràdio blanes,,,radioblanes.cat,,,,,,,"Iberfier, CAC",True,"Avenida de la Pau, 4 - 17300 Blanes (Girona)",17300,41.6785404,2.7889923,"web, app, radio",Girona,CAT,Emissora de ràdio,"Avinguda de la Pau, 4 ,  17300, Blanes",41.678627,2.789226,17300,,,
ràdio cabrera,,,audiovisualcabrera.net,,,,,,,"Iberfier, CAC",True,"Camí de Can Segarra, 40, 08349 Cabrera de Mar",8349,41.5308745,2.3909083,"radio, web",Barcelona,CAT,Emissora de ràdio,"Camí de Can Segarra,  Can Bartomeu,  08349, Cabrera de Mar",41.530252,2.391003,08349,,,
ràdio caldes,,,radiocaldes.cat,,,,,,,"Iberfier, CAC",True,"Centre Cívic i Cultural - Buenos Aires, 16 - 18 - 08140 Caldes de Montbui",8140,41.6338,2.1645,"radio, app, web",Barcelona,CAT,Emissora de ràdio,"Carrer Buenos Aires, 16-18 Centre Cívic i Cultural,  08140, Caldes de Montbui",41.630328,2.167828,08140,,,
ràdio canet,,,radiocanet.cat,,,,,,,"Iberfier, CAC",True,"Font 8 1er, 08360, Canet de Mar",8360,41.5889734,2.5803886,"web, radio",Barcelona,CAT,Emissora de ràdio,"Carrer de la Font, 8 ,  08360, Canet de Mar",41.588846,2.582005,08360,,,
ràdio cap de creus,,,radiocapdecreus.radiostream321.com,,,,,,,"Iberfier, CAC",False,"Carles Rahola, 11, 17488 Cadaqués, Girona",17488,42.2920169,3.2819021,web,Girona,CAT,Emissora de ràdio,"Carrer Carles Rahola, 11 ,  17488, Cadaqués",42.292254,3.281503,17488,,,
ràdio capellades,,,radiocapellades.net,,,,,,,"Iberfier, CAC",False,,8786,41.5309648,1.685923,web,Barcelona,CAT,Emissora de ràdio,"Carrer Divina Pastora, 1 ,  08786, Capellades",41.530274,1.687959,08786,,,
ràdio cassà,,,radiocassa.cat,,,,,,,"Iberfier, CAC",True,"Carrer Coma, 3, 17244 Cassà de la Selva, Girona",17244,41.8890363,2.8759667,"radio, web",Girona,CAT,Emissora de ràdio,"Plaça de la Coma, 3 ,  17244, Cassà de la Selva",41.888456,2.875627,17244,,,
ràdio castelldefels,,,radiocastelldefels.org,,,,,,,"Iberfier, CAC",True,"Bisbe Urquinaona, 19, 08860 Castelldefels, Barcelona",8860,41.282827,1.9778314,web,Barcelona,CAT,Emissora de ràdio,"Carrer Bisbe Urquinaona, 19-21 Biblioteca Central,  08860, Castelldefels",41.282934,1.978770,08860,,,
ràdio celrà,,,radio.celra.cat,,,,,,,"Iberfier, CAC",True,"Ctra. de Juià, 46 Celrà El Gironès 17460 Catalunya",17460,42.02686,2.874074,"web, radio",Girona,CAT,Emissora de ràdio,"Carretera de Juià, 46 ,  17460, Celrà",42.026953,2.876791,17460,,,
ràdio cornellà,,,radiocornella.cat,,,,,,,"Iberfier, CAC",True,"Costa Brava, 7, 08940 Cornellà de Llobregat",8940,41.3602995,2.0724296,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Costa Brava, 7 baixos,  08940, Cornellà de Llobregat",41.357383,2.070716,08940,,,
ràdio cubelles,,,radiocubelles.cat,,,,,,,"Iberfier, CAC",True,"Colom, 7 08880 Cubelles",8880,41.2085908,1.6731257,"radio, web, app",Barcelona,CAT,Emissora de ràdio,"Carrer Colom, 7 ,  08880, Cubelles",41.208624,1.673168,08880,,,
ràdio cunit,,,radiocunit.cat,,,,,,,"Iberfier, CAC",False,"Francesc Maciá, 43, 1 r 43881 Cunit",43881,41.1977817,1.6350914,web,Tarragona,CAT,Emissora de ràdio,"Carrer Francesc Macià, 43 ,  43881, Cunit",41.198021,1.628035,43881,,,
ràdio desvern,,,radiodesvern.com,,,,,,,"Iberfier, CAC",True,"Carrer Carles Mercader, 17, 08960 Sant Just Desvern, Barcelona",8960,41.386966,2.0755448,"radio, web, app",Barcelona,CAT,Emissora de ràdio,"Carrer Carles Mercader, 17 Can Ginestar,  08960, Sant Just Desvern",41.386303,2.075495,08960,,,
ràdio dos 84,,,radiodos84.com,,,,,,,"Iberfier, CAC",False,"Ravalet, 40 - 17450 – Hostalric (Girona",17450,41.7451,2.64261,web,Girona,CAT,Emissora de ràdio,"Carrer Ravalet, 40 ,  17450, Hostalric",41.745100,2.642610,17450,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",41.424031,1.786861,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",41.929831,2.255086,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",41.614965,0.626863,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",41.379986,2.137653,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",41.119038,1.244875,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",40.812540,0.521448,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",42.358039,1.462347,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",42.431083,1.927353,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",41.983139,2.824787,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",42.785600,0.692370,08014,,,
ràdio estel,,,radioestel.com,,,,,,,"Iberfier, CAC",True,"Comtes de Bell-lloc, 67-69, Barcelona",8014,41.3798313,2.1374476,"web, radio, app",Barcelona,CAT,Emissora de ràdio,"Carrer Comtes de Bell-lloc, 67-69 ,  08014, Barcelona",41.262422,1.771822,08014,,,
ràdio falset,,,radiofalset.cat,,,,,,,"Iberfier, CAC",True,Plaza de la Quartera 6-A - 43730 - Falset,43730,41.1461312,0.8203784,"radio, app, web",Tarragona,CAT,Emissora de ràdio,"Plaça Quartera, 6,  ,  43730, Falset",41.146071,0.820229,43730,,,
ràdio flaixbac,,,radioflaixbac.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, novena planta - 08007 Barcelona",8007,41.3923037,2.1635693,"radio, app, web",Barcelona,CAT,Emissora de ràdio,"Passeig de Gràcia, 55 ,  08007, Barcelona",41.380955,2.045477,08007,,,
ràdio flaixbac,,,radioflaixbac.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, novena planta - 08007 Barcelona",8007,41.3923037,2.1635693,"radio, app, web",Barcelona,CAT,Emissora de ràdio,"Passeig de gràcia, 55 ,  08007, Barcelona",,,08007,,,
ràdio flaixbac,,,radioflaixbac.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, novena planta - 08007 Barcelona",8007,41.3923037,2.1635693,"radio, app, web",Barcelona,CAT,Emissora de ràdio,"Passeig de gràcia, 55 ,  08007, Barcelona",,,08007,,,
ràdio flaixbac,,,radioflaixbac.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, novena planta - 08007 Barcelona",8007,41.3923037,2.1635693,"radio, app, web",Barcelona,CAT,Emissora de ràdio,"Passeig de gràcia, 55 ,  08007, Barcelona",,,08007,,,
ràdio flaixbac,,,radioflaixbac.cat,,,,,,,"Iberfier, CAC",True,"Passeig de Gràcia, 55, novena planta - 08007 Barcelona",8007,41.3923037,2.1635693,"radio, app, web",Barcelona,CAT,Emissora de ràdio,"Passatge Sant Jaume, 12 ,  08391, Tiana",41.929809,2.255084,08391,,,
